temperature,pressure,mass_ratio,H2S_conv,CS2_conv,naphthalene,p_Xylene,toluene,benzene,H2S,methane
100,16,6.32,1.7715921104836392e-05,0.0,0.0,0.0,0.0,0.0,7.0858,95.123
110,16,6.32,1.7715921104836392e-05,0.0,0.0,0.0,0.0,0.0,7.0858,95.123
120,16,6.32,3.182840359201589e-05,0.0,0.0,0.0,0.0,0.0,7.0857,95.123
130,16,6.32,3.182840359201589e-05,0.0,0.0,0.0,0.0,0.0,7.0857,95.1229
140,16,6.32,6.005336856650022e-05,0.0,0.0,0.0,0.0,0.0,7.0855,95.1229
150,16,6.32,7.416585105367971e-05,0.0,0.0,0.0,0.0,0.0,7.0854,95.1228
160,16,6.32,0.00010239081602803871,0.0,0.0,0.0,0.0,0.0,7.0852,95.1227
170,16,6.32,0.00014472826348970252,0.0,0.0,0.0,0.0,0.0,7.0849,95.1226
180,16,6.32,0.00018706571095136637,0.0,0.0,0.0,0.0,0.0,7.0846,95.1224
190,16,6.32,0.00025762812338738915,0.0,0.0,0.0,0.0,0.0,7.0841,95.1222
200,16,6.32,0.00032819053582353735,0.0,0.0,0.0,0.0,0.0,7.0836,95.1219
210,16,6.32,0.00042697791323391914,0.0,0.0,0.0,0.0,0.0,7.083,95.1216
220,16,6.32,0.0005398777731317312,0.0,0.0,0.0,0.0,0.0,7.0821,95.1212
230,16,6.32,0.0006810025980037768,0.0416666666666666,0.0,0.0,0.0,0.0,7.0812,95.1207
240,16,6.32,0.0008644648703376116,0.0666666666666667,0.0,0.0,0.0,0.0,7.0802,95.1202
250,16,6.32,0.0010620396251585006,0.15789473684210523,0.0,0.0,0.0001,0.0001,7.079,95.1196
260,16,6.32,0.0013160643099283582,0.19565217391304343,0.0,0.0,0.0001,0.0002,7.0777,95.119
270,16,6.32,0.0015983139596725748,0.2807017543859649,0.0001,0.0,0.0002,0.0003,7.0764,95.1183
280,16,6.32,0.00193701353936576,0.3623188405797101,0.0001,0.0,0.0003,0.0004,7.075,95.1176
290,16,6.32,0.0023321630490076633,0.43373493975903615,0.0002,0.0001,0.0004,0.0006,7.0734,95.1168
300,16,6.32,0.00278376248859841,0.5050505050505051,0.0002,0.0001,0.0005,0.0008,7.0718,95.116
310,16,6.32,0.0033059243406253045,0.5641025641025641,0.0003,0.0001,0.0007,0.0011,7.07,95.1151
